Baseline Type,Test Set,Loss,Accuracy,F1(Weighted),F1(Macro),Spearman
Uniform Random,Val (同分布),1.0963194370269775,0.315,0.3286061059014186,0.3085784804995313,0.09848238556537497
Uniform Random,Test1 (新被试+旧题),1.1018577291254412,0.35350877192982455,0.4095927997342893,0.2897643920971595,0.023819240324332695
Uniform Random,Test2 (旧被试+新题),1.0992428183555603,0.294,0.3471070456560426,0.2423233726976597,-0.08823590278858584
Uniform Random,Test3 (新被试+新题),1.1045009608854328,0.356140350877193,0.38791612023592303,0.3249746593446073,0.15133055231539502
Stratified Random,Val (同分布),0.9671670496463776,0.455,0.42567408390865635,0.26361125862984597,-0.10281456278528059
Stratified Random,Test1 (新被试+旧题),0.7652703732774969,0.5649122807017544,0.567258497191173,0.33032034609354416,-0.007994945786615214
Stratified Random,Test2 (旧被试+新题),0.807858943939209,0.576,0.5662667797932132,0.34758599908023324,0.02288488329117399
Stratified Random,Test3 (新被试+新题),0.8329839999215645,0.5385964912280702,0.5309897447598558,0.33009917014723894,0.03948958414591145
