Baseline Type,Test Set,Loss,Accuracy,F1(Weighted),F1(Macro),Spearman
Uniform Random,Test1 (新被试+旧题),1.102106539826644,0.34385964912280703,0.3994224006437246,0.28668273217353607,0.0017776120979474824
Uniform Random,Test2 (旧被试+新题),1.1006274819374084,0.343,0.39407334360942603,0.28891865844901354,-0.02380291685122005
Uniform Random,Test3 (新被试+新题),1.102052048632973,0.3192982456140351,0.3692358047224072,0.27395789192066317,-0.055893236220351285
Stratified Random,Test1 (新被试+旧题),0.7669387836205331,0.5701754385964912,0.5728969867304365,0.337027216819497,0.019484760765973264
Stratified Random,Test2 (旧被试+新题),0.805270504951477,0.554,0.5453519840576319,0.3214249938904442,-0.0026709679453418215
Stratified Random,Test3 (新被试+新题),0.8338767248287535,0.5473684210526316,0.5354763076787329,0.3251522708835532,0.030841053550632616
